libapt-inst2.0,186,3894--SW--POY
docker-ce,186,3894--SW--POY
cuda-libraries-10-2,186,3894--SW--POY
usbmuxd,186,3894--SW--POY
libtiff-dev,186,3894--SW--POY
libnotify4,186,3894--SW--POY
libblosc1,186,3894--SW--POY
libnet-libidn-perl,186,3894--SW--POY
libnpp-cross-aarch64-11-4,186,3894--SW--POY
liblog4cxx10v5,186,3894--SW--POY
libcpp-common0d,186,3894--SW--POY
libfontconfig1,186,3894--SW--POY
manpages,186,3894--SW--POY
android-libunwind,186,3894--SW--POY
libnss-systemd,186,3894--SW--POY
libcairomm-1.0-1v5,186,3894--SW--POY
freeglut3,186,3894--SW--POY
perl-base,186,3894--SW--POY
libudev1,186,3894--SW--POY
qtbase5-dev-tools,186,3894--SW--POY
gconf2-common,186,3894--SW--POY
wireshark,186,3894--SW--POY
strace,186,3894--SW--POY
python3-speechd,186,3894--SW--POY
libmpeg2-4,186,3894--SW--POY
r-cran-scales,186,3894--SW--POY
libunistring2,186,3894--SW--POY
libnettle6,186,3894--SW--POY
libreoffice-avmedia-backend-gstreamer,186,3894--SW--POY
fortunes-min,186,3894--SW--POY
libtdb1,186,3894--SW--POY
r-cran-processx,186,3894--SW--POY
libboost-date-time1.65.1,186,3894--SW--POY
linux-hwe-5.4-headers-5.4.0-136,186,3894--SW--POY
python-setuptools,186,3894--SW--POY
libimage-magick-perl,186,3894--SW--POY
libxinerama1,186,3894--SW--POY
fortune-mod,186,3894--SW--POY
libatlas3-base,186,3894--SW--POY
libxapian30,186,3894--SW--POY
libboost-program-options1.65-dev,186,3894--SW--POY
libgeocode-glib0,186,3894--SW--POY
libcusolver-10-2,186,3894--SW--POY
libclang-common-6.0-dev,186,3894--SW--POY
libgtop-2.0-11,186,3894--SW--POY
r-cran-bit64,186,3894--SW--POY
minicom,186,3894--SW--POY
libxcursor-dev,186,3894--SW--POY
aptdaemon-data,186,3894--SW--POY
git-man,186,3894--SW--POY
python3-distro-info,186,3894--SW--POY
ufw,186,3894--SW--POY
libxcb-dri2-0,186,3894--SW--POY
libsm6,186,3894--SW--POY
deja-dup,186,3894--SW--POY
libmms0,186,3894--SW--POY
cpio,186,3894--SW--POY
libqt4-opengl,186,3894--SW--POY
libdee-1.0-4,186,3894--SW--POY
wbritish,186,3894--SW--POY
wazuh-agent,186,3894--SW--POY
keyboard-configuration,186,3894--SW--POY
libappstream-glib8,186,3894--SW--POY
libpopt0,186,3894--SW--POY
libsecret-common,186,3894--SW--POY
ubuntu-wallpapers-bionic,186,3894--SW--POY
libflac++6v5,186,3894--SW--POY
libnetcdf-c++4,186,3894--SW--POY
libwbclient0,186,3894--SW--POY
linux-headers-5.4.0-146-generic,186,3894--SW--POY
r-cran-boot,186,3894--SW--POY
libexiv2-14,186,3894--SW--POY
python3-pickleshare,186,3894--SW--POY
fonts-samyak-gujr,186,3894--SW--POY
gnome-software-common,186,3894--SW--POY
libpathplan4,186,3894--SW--POY
powermgmt-base,186,3894--SW--POY
libxcb-randr0-dev,186,3894--SW--POY
plymouth-theme-ubuntu-logo,186,3894--SW--POY
fonts-smc-meera,186,3894--SW--POY
libxt-dev,186,3894--SW--POY
libxcb-dri3-0,186,3894--SW--POY
libtry-tiny-perl,186,3894--SW--POY
libatasmart4,186,3894--SW--POY
kmod,186,3894--SW--POY
libattr1,186,3894--SW--POY
libdaemon0,186,3894--SW--POY
libsm-dev,186,3894--SW--POY
libglu1-mesa-dev,186,3894--SW--POY
libpoppler-glib8,186,3894--SW--POY
fonts-lohit-deva,186,3894--SW--POY
libcusparse-10-2,186,3894--SW--POY
